id,token,bio_tag
1.0,The,O
1.0,aforesaid,O
1.0,charge-sheet,B-DOCUMENT
1.0,was,O
1.0,submitted,O
1.0,against,O
1.0,10(ten),O
1.0,persons,O
1.0,including,O
1.0,the,O
1.0,present,O
1.0,petitioner.,B-LEGAL_ROLE
1.0,An,O
1.0,FIR,B-DOCUMENT
1.0,was,O
1.0,filed,O
1.0,by,O
1.0,one,O
1.0,Smti,O
1.0,Hardeep,O
1.0,Kaur,O
1.0,"Sondhi,",O
1.0,wife,O
1.0,of,O
1.0,late,O
1.0,Tej,B-PERSON
1.0,Pal,I-PERSON
1.0,Singh,I-PERSON
1.0,Sondhi,I-PERSON
1.0,with,O
1.0,the,O
1.0,"Officer-In-Charge,",B-LEGAL_ROLE
1.0,Dispur,B-POLICE_STATION
1.0,Police,B-POLICE_STATION
1.0,Station,I-POLICE_STATION
1.0,on,O
1.0,2.9.2008,B-DATE
1.0,which,O
1.0,was,O
1.0,registered,O
1.0,as,O
1.0,Dispur,O
1.0,P.S.Case,O
1.0,No.1383/09,O
1.0,under,O
1.0,Sections,B-SECTION
1.0,120(B)/468/447/506/506,I-SECTION
1.0,IPC.,I-SECTION
1.0,It,I-SECTION
1.0,has,I-SECTION
1.0,been,I-SECTION
1.0,stated,I-SECTION
1.0,in,I-SECTION
1.0,the,I-SECTION
1.0,FIR,B-DOCUMENT
1.0,that,B-SECTION
1.0,the,I-SECTION
1.0,informant's,O
1.0,family,O
1.0,owned,O
1.0,and,O
1.0,possessed,O
1.0,a,O
1.0,plot,O
1.0,of,O
1.0,land,O
1.0,measuring,O
1.0,4,O
1.0,Bighas,O
1.0,covered,O
1.0,by,O
1.0,Dag,B-PROPERTY
1.0,"No.209,",I-PROPERTY
1.0,K,I-PROPERTY
1.0,P,I-PROPERTY
1.0,Patta,B-PROPERTY
1.0,No.52,I-PROPERTY
1.0,at,I-PROPERTY
1.0,revenue,O
1.0,village,O
1.0,Rukmininagar,B-LOCATION
1.0,under,O
1.0,Beltola,B-LOCATION
1.0,Mouza,I-LOCATION
1.0,in,O
1.0,the,O
1.0,District,B-LOCATION
1.0,of,I-LOCATION
1.0,Kamrup(M),I-LOCATION
1.0,adjacent,O
1.0,to,O
1.0,the,O
1.0,Down,O
1.0,Town,O
1.0,Hospital.,O
1.0,From,O
1.0,the,O
1.0,aforesaid,O
1.0,plot,O
1.0,of,O
1.0,land,O
1.0,2,O
1.0,Bighas,O
1.0,2,O
1.0,Kathas,O
1.0,of,O
1.0,land,O
1.0,was,O
1.0,sold,O
1.0,to,O
1.0,two,O
1.0,different,O
1.0,buyers,O
1.0,and,O
1.0,the,O
1.0,rest,O
1.0,was,O
1.0,still,O
1.0,belonging,O
1.0,to,O
1.0,informant's,O
1.0,family.,O
1.0,It,O
1.0,is,O
1.0,alleged,O
1.0,that,O
1.0,taking,O
1.0,advantage,O
1.0,of,O
1.0,long,O
1.0,absence,O
1.0,from,O
1.0,Guwahati,B-LOCATION
1.0,some,O
1.0,miscreants,O
1.0,fraudulently,O
1.0,executed,O
1.0,and,O
1.0,registered,O
1.0,sale,O
1.0,deed,O
1.0,in,O
1.0,the,O
1.0,names,O
1.0,of,O
1.0,her,O
1.0,father-in-law,O
1.0,and,O
1.0,her,O
1.0,deceased,O
1.0,"husband,",O
1.0,who,O
1.0,was,O
1.0,an,O
1.0,Advocate,B-DESIGNATION
1.0,of,O
1.0,Gauhati,B-COURT
1.0,High,I-COURT
1.0,Court.,I-COURT
1.0,It,O
1.0,is,O
1.0,also,O
1.0,alleged,O
1.0,that,O
1.0,the,O
1.0,miscreants,O
1.0,started,O
1.0,construction,O
1.0,of,O
1.0,boundary,O
1.0,wall,O
1.0,without,O
1.0,her,O
1.0,knowledge,O
1.0,and,O
1.0,having,O
1.0,come,O
1.0,to,O
1.0,know,O
1.0,about,O
1.0,it,O
1.0,from,O
1.0,reliable,O
1.0,"source,",O
1.0,she,O
1.0,went,O
1.0,to,O
1.0,prevent,O
1.0,the,O
1.0,construction,O
1.0,works,O
1.0,but,O
1.0,the,O
1.0,miscreants,O
1.0,threatened,O
1.0,her,O
1.0,with,O
1.0,dire,O
1.0,consequences,O
1.0,compelling,O
1.0,her,O
1.0,to,O
1.0,file,O
1.0,the,O
1.0,FIR.,B-DOCUMENT
,,O
2.0,This,O
2.0,is,O
2.0,an,O
2.0,application,B-DOCUMENT
2.0,under,O
2.0,Section,B-SECTION
2.0,115,I-SECTION
2.0,read,I-SECTION
2.0,with,I-SECTION
2.0,Section,B-SECTION
2.0,151,I-SECTION
2.0,of,I-SECTION
2.0,the,I-SECTION
2.0,Code,I-SECTION
2.0,of,I-SECTION
2.0,Civil,I-SECTION
2.0,Procedure.,I-SECTION
2.0,Under,I-SECTION
2.0,challenge,I-SECTION
2.0,are,I-SECTION
2.0,the,I-SECTION
2.0,orders,I-SECTION
2.0,dated,I-SECTION
2.0,22.02.2006,B-DATE
2.0,and,B-SECTION
2.0,28.02.2006,B-DATE
2.0,passed,B-SECTION
2.0,by,I-SECTION
2.0,the,I-SECTION
2.0,learned,I-SECTION
2.0,Civil,I-SECTION
2.0,Judge,B-DESIGNATION
2.0,(Junior,B-SECTION
2.0,Division),I-SECTION
2.0,No.,I-SECTION
2.0,"2,",I-SECTION
2.0,Morigaon,I-SECTION
2.0,in,I-SECTION
2.0,Title,I-SECTION
2.0,Execution,I-SECTION
2.0,No.,I-SECTION
2.0,4/2005,I-SECTION
2.0,arising,I-SECTION
2.0,out,I-SECTION
2.0,of,I-SECTION
2.0,Title,I-SECTION
2.0,Suit,I-SECTION
2.0,No.,I-SECTION
2.0,9,I-SECTION
2.0,of,I-SECTION
2.0,2002.,I-SECTION
2.0,The,I-SECTION
2.0,"petitioners,",I-SECTION
