id,token,bio_tag
1.0,The,O
1.0,aforesaid,O
1.0,charge-sheet,O
1.0,was,O
1.0,submitted,O
1.0,against,O
1.0,10(ten),O
1.0,persons,O
1.0,including,O
1.0,the,O
1.0,present,O
1.0,petitioner.,O
1.0,An,O
1.0,FIR,B-Document
1.0,was,O
1.0,filed,O
1.0,by,O
1.0,one,O
1.0,Smti,O
1.0,Hardeep,O
1.0,Kaur,O
1.0,"Sondhi,",O
1.0,wife,O
1.0,of,O
1.0,late,O
1.0,Tej,B-Person
1.0,Pal,I-Person
1.0,Singh,I-Person
1.0,Sondhi,I-Person
1.0,with,O
1.0,the,O
1.0,"Officer-In-Charge,",O
1.0,Dispur,B-Police Station
1.0,Police,I-Police Station
1.0,Station,I-Police Station
1.0,on,O
1.0,2.9.2008,B-DATE
1.0,which,O
1.0,was,O
1.0,registered,O
1.0,as,O
1.0,Dispur,B-Case Number
1.0,P.S.Case,I-Case Number
1.0,No.1383/09,I-Case Number
1.0,under,O
1.0,Sections,B-SECTION
1.0,120(B)/468/447/506/506,I-SECTION
1.0,IPC.,O
1.0,It,O
1.0,has,O
1.0,been,O
1.0,stated,O
1.0,in,O
1.0,the,O
1.0,FIR,O
1.0,that,O
1.0,the,O
1.0,informant's,O
1.0,family,O
1.0,owned,O
1.0,and,O
1.0,possessed,O
1.0,a,O
1.0,plot,O
1.0,of,O
1.0,land,O
1.0,measuring,O
1.0,4,O
1.0,Bighas,O
1.0,covered,O
1.0,by,O
1.0,Dag,O
1.0,"No.209,",O
1.0,K,O
1.0,P,O
1.0,Patta,O
1.0,No.52,O
1.0,at,O
1.0,revenue,O
1.0,village,O
1.0,Rukmininagar,O
1.0,under,O
1.0,Beltola,O
1.0,Mouza,O
1.0,in,O
1.0,the,O
1.0,District,O
1.0,of,O
1.0,Kamrup(M),O
1.0,adjacent,O
1.0,to,O
1.0,the,O
1.0,Down,O
1.0,Town,O
1.0,Hospital.,O
1.0,From,O
1.0,the,O
1.0,aforesaid,O
1.0,plot,O
1.0,of,O
1.0,land,O
1.0,2,O
1.0,Bighas,O
1.0,2,O
1.0,Kathas,O
1.0,of,O
1.0,land,O
1.0,was,O
1.0,sold,O
1.0,to,O
1.0,two,O
1.0,different,O
1.0,buyers,O
1.0,and,O
1.0,the,O
1.0,rest,O
1.0,was,O
1.0,still,O
1.0,belonging,O
1.0,to,O
1.0,informant's,O
1.0,family.,O
1.0,It,O
1.0,is,O
1.0,alleged,O
1.0,that,O
1.0,taking,O
1.0,advantage,O
1.0,of,O
1.0,long,O
1.0,absence,O
1.0,from,O
1.0,Guwahati,O
1.0,some,O
1.0,miscreants,O
1.0,fraudulently,O
1.0,executed,O
1.0,and,O
1.0,registered,O
1.0,sale,O
1.0,deed,O
1.0,in,O
1.0,the,O
1.0,names,O
1.0,of,O
1.0,her,O
1.0,father-in-law,O
1.0,and,O
1.0,her,O
1.0,deceased,O
1.0,"husband,",O
1.0,who,O
1.0,was,O
1.0,an,O
1.0,Advocate,O
1.0,of,O
1.0,Gauhati,O
1.0,High,O
1.0,Court.,O
1.0,It,O
1.0,is,O
1.0,also,O
1.0,alleged,O
1.0,that,O
1.0,the,O
1.0,miscreants,O
1.0,started,O
1.0,construction,O
1.0,of,O
1.0,boundary,O
1.0,wall,O
1.0,without,O
1.0,her,O
1.0,knowledge,O
1.0,and,O
1.0,having,O
1.0,come,O
1.0,to,O
1.0,know,O
1.0,about,O
1.0,it,O
1.0,from,O
1.0,reliable,O
1.0,"source,",O
1.0,she,O
1.0,went,O
1.0,to,O
1.0,prevent,O
1.0,the,O
1.0,construction,O
1.0,works,O
1.0,but,O
1.0,the,O
1.0,miscreants,O
1.0,threatened,O
1.0,her,O
1.0,with,O
1.0,dire,O
1.0,consequences,O
1.0,compelling,O
1.0,her,O
1.0,to,O
1.0,file,O
1.0,the,O
1.0,FIR.,O
,,O
2.0,This,O
2.0,is,O
2.0,an,O
2.0,application,O
2.0,under,O
2.0,Section,B-SECTION
2.0,115,I-SECTION
2.0,read,O
2.0,with,O
2.0,Section,B-SECTION
2.0,151,I-SECTION
2.0,of,O
2.0,the,O
2.0,Code,O
2.0,of,O
2.0,Civil,O
2.0,Procedure.,O
2.0,Under,O
2.0,challenge,O
2.0,are,O
2.0,the,O
2.0,orders,O
2.0,dated,O
2.0,22.02.2006,B-DATE
2.0,and,O
2.0,28.02.2006,B-DATE
2.0,passed,O
2.0,by,O
2.0,the,O
2.0,learned,O
2.0,Civil,B-Court
2.0,Judge,I-Court
2.0,(Junior,I-Court
2.0,Division),I-Court
2.0,No.,I-Court
2.0,"2,",I-Court
2.0,Morigaon,I-Court
2.0,in,O
2.0,Title,B-Case Number
2.0,Execution,I-Case Number
2.0,No.,I-Case Number
2.0,4/2005,I-Case Number
2.0,arising,O
2.0,out,O
2.0,of,O
2.0,Title,O
2.0,Suit,O
2.0,No.,O
2.0,9,O
2.0,of,O
2.0,2002.,O
2.0,The,O
2.0,"petitioners,",O
2.0,as,O
2.0,"plaintiffs,",O
2.0,instituted,O
2.0,a,O
2.0,title,O
2.0,suit,O
2.0,against,O
2.0,the,O
2.0,present,O
2.0,opposite,O
2.0,parties,O
2.0,and,O
2.0,one,O
2.0,Sri,B-Person
2.0,Panchal,I-Person
2.0,Bordoloi,I-Person
2.0,which,O
2.0,was,O
2.0,registered,O
2.0,as,O
2.0,Title,B-Case Number
2.0,Suit,I-Case Number
2.0,No.,I-Case Number
2.0,9/2002,I-Case Number
2.0,in,O
2.0,the,O
2.0,Court,O
2.0,of,O
2.0,Civil,B-Court
2.0,Judge,I-Court
2.0,(Junior,I-Court
2.0,Division),I-Court
2.0,"No.2,",I-Court
2.0,Morigaon,I-Court
2.0,for,O
2.0,declaration,O
2.0,of,O
2.0,"right,",O
