id,entity_text,entity_label,score
1,FIR,Document,0.9544
1,Smti Hardeep Kaur Sondhi,Person,0.9352
1,Tej Pal Singh Sondhi,Person,0.8815
1,Officer-In-Charge,Person,0.8301
1,Dispur Police Station,Police Station,0.9871
1,2.9.2008,Date,0.9869
1,Dispur P.S.Case No.1383/09,Case Number,0.5502
1,IPC,Law,0.8466
1,FIR,Document,0.9707
1,Gauhati High Court,Court,0.9739
1,FIR,Document,0.9583
2,Section 115,Section,0.9112
2,Section 151,Section,0.8795
2,Code of Civil Procedure,Law,0.8093
2,22.02.2006,Date,0.8629
2,28.02.2006,Date,0.8825
2,"Civil Judge (Junior Division) No. 2, Morigaon",Court,0.6984
2,Title Execution No. 4/2005,Case Number,0.7733
2,Title Suit No. 9 of 2002,Case Number,0.9159
2,Sri Panchal Bordoloi,Person,0.677
2,Title Suit No. 9/2002,Case Number,0.9152
2,"Civil Judge (Junior Division) No.2, Morigaon",Court,0.5373
2,Schedule A,Document,0.8513
3,Sri Roy,Person,0.6423
3,written statement,Document,0.7896
3,respondent No.10,Person,0.8021
3,Section 151,Section,0.9696
3,Code of Civil Procedure,Law,0.9405
3,written statement,Document,0.7969
3,respondent No.10,Person,0.8476
4,20.09.2002,Date,0.8413
4,this Court,Court,0.5745
4,WP(C) No. 2721/2001,Case Number,0.9614
4,07.12.1999,Date,0.8672
4,Annexure B to the writ petition,Document,0.8707
4,Mr. D Das,Person,0.8083
4,Mr. A Deka,Person,0.784
4,Mr. KP Sarma,Person,0.7359
5,The respondent No. 1,Person,0.6049
5,28.02.2011,Date,0.7684
5,Secretary and the Executive Officer,Person,0.5589
5,04.03.2011,Date,0.7835
5,President of the said Gaon Panchayat,Person,0.8727
5,28.02.2011,Date,0.7192
5,President of the said Gaon Panchayat,Person,0.8896
6,petitioner,Person,0.67
6,Act,Law,0.8211
6,petitioner,Person,0.6528
6,petitioner,Person,0.6369
6,Section 47,Section,0.8497
6,Article 226,Law,0.6386
6,Constitution,Law,0.6178
6,High Court,Court,0.8424
6,Mr. S. Saikia,Person,0.7823
6,petitioner,Person,0.5992
6,petitioner,Person,0.6798
6,Section 47,Section,0.7962
6,Act,Law,0.8286
6,petitioner,Person,0.6751
6,Act,Law,0.8673
7,writ petitioner,Person,0.5288
7,writ petition,Document,0.6849
7,11-08-2010,Date,0.8614
7,"Commissioner of Taxes, Assam",Person,0.6793
7,Commissioner,Person,0.8061
7,section 105,Section,0.948
7,Act,Law,0.9567
7,Act,Law,0.9604
7,"Superintendent of Taxes, Guwahati, Unit-B",Person,0.6115
7,writ petition,Document,0.7422
7,Act,Law,0.9589
7,Act,Law,0.9636
7,HSN Code No.3204 12 94,Case Number,0.5169
7,Act,Law,0.9532
8,20.11.2009,Date,0.8192
8,Respondent No.3,Person,0.7078
8,Respondent No.4,Person,0.7063
8,18.12.2009,Date,0.7661
8,"Project Director, DRDA, Kohima",Person,0.7355
9,writ petitions,Document,0.8748
9,29.08.2011,Date,0.8608
9,learned counsel for the respondent No. 8,Person,0.5867
9,writ petitions,Document,0.8504
9,the writ petitions,Document,0.8609
9,the writ petitions,Document,0.9172
9,learned counsel for the respondents,Person,0.515
9,Apex Court,Court,0.8373
9,writ petitions,Document,0.8764
9,the writ petitions,Document,0.8764
10,Regulation,Document,0.8487
10,Regulation,Document,0.7873
10,Regulation,Document,0.8318
10,candidates,Person,0.5384
10,candidates,Person,0.599
10,31.12.1993,Date,0.6877
11,OA,Document,0.7756
11,respondent No. 1,Person,0.8959
11,respondent No. 2,Person,0.9356
11,defendant No. 1,Person,0.9457
11,OA,Document,0.7751
11,Tribunal,Court,0.7286
11,defendant No.1,Person,0.9541
11,respondent No. 2,Person,0.9634
11,respondent No. 1,Person,0.8935
12,the petitioner,Person,0.6187
12,07.10.2004,Date,0.8449
12,he,Person,0.5591
12,he,Person,0.7992
12,01.12.2007,Date,0.6886
12,he,Person,0.6103
12,08.01.2008,Date,0.8305
12,he,Person,0.6422
12,The petitioner,Person,0.7795
12,law,Law,0.5225
13,OA No.25/2006,Case Number,0.9858
13,EP No.5/2009,Case Number,0.9663
13,learned Tribunal,Court,0.7179
13,01.08.2007,Date,0.7895
